id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
5110365,Broome,US,42.25,-75.83,1619470669,48.96,51.01,29,1,20.71
4020109,Atuona,PF,-9.8,-139.03,1619470638,79.77,79.77,76,65,16.08
2022572,Khatanga,RU,71.97,102.5,1619470669,17.13,17.13,87,100,12.35
2037799,Datong,CN,40.09,113.29,1619470670,44.4,44.4,17,21,10.42
3421319,Nuuk,GL,64.18,-51.72,1619470670,35.29,35.6,100,75,6.91
2017155,Saskylakh,RU,71.92,114.08,1619470670,1.35,1.35,98,98,4.61
4035715,Avarua,CK,-21.21,-159.78,1619470611,80.6,80.6,78,43,4.61
2400578,Fougamou,GA,-1.22,10.58,1619470671,75.56,75.56,97,90,1.77
5880054,Barrow,US,71.29,-156.79,1619470671,17.6,17.6,73,1,17.27
1181611,Chaman,PK,30.92,66.45,1619470671,73.36,73.36,18,7,2.95
2449938,Ténenkou,ML,14.46,-4.92,1619470671,96.71,96.71,9,16,7.47
3418910,Upernavik,GL,72.79,-56.15,1619470672,36.57,36.57,85,42,3.78
1528606,Kemin,KG,42.78,75.69,1619470672,54.27,54.27,50,52,8.1
4968234,Jay,US,44.5,-70.22,1619470673,41.74,43.0,49,75,13.8
1278935,Amalāpuram,IN,16.58,82.02,1619470673,77.86,77.86,82,1,2.19
1649150,Bengkulu,ID,-3.8,102.27,1619470673,75.27,75.27,88,81,4.38
3652764,Puerto Ayora,EC,-0.74,-90.35,1619470674,82.4,82.4,69,40,19.57
3416888,Grindavik,IS,63.84,-22.43,1619470674,46.4,46.4,71,0,1.14
3831208,Qaanaaq,GL,77.48,-69.36,1619470674,39.31,39.31,70,89,7.67
2013639,Verkhnevilyuysk,RU,63.45,120.32,1619470674,13.8,13.8,89,99,8.66
3401148,Cururupu,BR,-1.83,-44.87,1619470675,77.45,77.45,85,97,4.0
651299,Korsholm,FI,63.11,21.68,1619470675,29.53,30.99,80,0,2.3
1488741,Tyumentsevo,RU,53.32,81.5,1619470675,47.39,47.39,82,97,7.47
3372707,Ribeira Grande,PT,38.52,-28.7,1619470676,60.8,60.8,77,40,3.76
2450173,Taoudenni,ML,22.68,-3.98,1619470676,95.25,95.25,12,42,11.41
8079926,Labuhan,ID,-6.88,112.21,1619470676,76.91,76.91,83,90,6.38
468866,Yartsevo,RU,55.07,32.7,1619470677,30.36,30.36,81,11,3.98
6690296,Saint-Joseph,RE,-21.37,55.62,1619470677,71.64,77.0,78,75,16.11
6945992,Betsiamites,CA,48.94,-68.65,1619470677,41.05,42.8,93,90,8.05
3038333,Arrondissement d'Ajaccio,FR,42.0,8.92,1619470678,59.0,59.0,72,0,4.61
5261969,Marshfield,US,44.67,-90.17,1619470413,49.19,50.0,53,90,16.11
2181988,Takapau,NZ,-40.03,176.35,1619470678,55.0,55.0,80,97,7.0
2068110,Kununurra,AU,-15.77,128.73,1619470678,75.2,75.2,73,43,1.14
2033135,Zhengjiatun,CN,43.51,123.51,1619470679,51.8,51.8,63,100,17.43
5983720,Iqaluit,CA,63.75,-68.51,1619470679,28.2,28.4,86,90,27.63
2173911,Broken Hill,AU,-31.95,141.43,1619470679,48.2,48.2,66,13,5.73
2094342,Kavieng,PG,-2.57,150.8,1619470680,82.09,82.09,74,65,0.65
780687,Berlevåg,NO,70.86,29.09,1619470680,30.67,32.0,86,90,9.22
5742974,North Bend,US,43.41,-124.22,1619470382,53.29,54.0,66,90,9.22
72181,Marzuq,YE,14.4,46.47,1619470681,73.62,73.62,47,99,6.04
2636790,Stornoway,GB,58.21,-6.39,1619470681,46.24,46.4,87,90,9.22
